STATUS OF PROCUREMENT AND CONTRACT - PANGASINAN IRRIGATION MANAGEMENT OFFICE,,,,,,,,,,,,,,,,,,,,,,,,,
CY 2026 PROJECTS,,,,,,,,,,,,,,,,,,,,,,,,,
"as of March 25, 2026",,,,,,,,,,,,,,,,,,,,,,,,,
No. of Proj.,Name of Project,Municipality,Allocation and ABC,,BID-OUT,For Bidding,Date of Bidding,AWARDED,Date of Award,Contract No.,Contract Amount,Name of Contractor,Remarks,Project Description,,,,,,,,,,,
,,,FY 2026 (Allocation),Approved Budget of the Contract,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
PANGASINAN IMO,,,,,,,,,,,,,,,,,,,,,,,,,
General Appropriations Act CY 2026,,,,,,,,,,,,,,,,,,,,,,,,,
5,ANDIKET-BATO SIP (SIP CY 2026),SUAL,"25000000.00","23473738.63",,1,16-Mar-26,,,R1-PIMO-26-02-028,,,Bidded,SIP - Construction of Intake Structure with Solar Pump and Canal Lining,,,,,,,,,,,
6,PITA SIP (SIP CY 2026),INFANTA,"25000000.00",,,,,,,,,,,SIP - Construction of Diversion Dam and Canal Lining,,,,,,,,,,,
7,PANGASCASAN SIP (SIP CY 2026),SUAL,"15000000.00",,,,,,,,,,,SIP - Construction of Intake Structure with Solar Pump and Canal Lining,,,,,,,,,,,
2,SRIP CY 2025,,"100000000.00","78423375.86",0,5,,0,,,0,,,,,,,,,,,,,,
1,BAYAOAS SRIP- CONSTRUCTION OF IRRIGATION FACILITIES AND OTHER APPURTENANT STRUCTURES),AGUILAR,"50000000.00",,,,,,,,,,,,,,,,,,,,,,
,PACKAGE 1,,,"9644099.89",,1,14-Apr-26,,,R1-PIMO-26-03-039,,,"For Posting (PhilGeps)
- March 24, 2026",Embankment Protection - Right Main Canal,,,,,,,,,,,
,PACKAGE 2,,,"8101445.01",,1,14-Apr-26,,,R1-PIMO-26-03-040,,,"For Posting (PhilGeps)
- March 24, 2026","Canal Lining - Right Main Canal, Canal Structures - Right Main Canal, Service Road - Right Main Canal",,,,,,,,,,,
,PACKAGE 3,,,"6716512.68",,1,14-Apr-26,,,R1-PIMO-26-03-041,,,"For Posting (PhilGeps)
- March 24, 2026","Canal Linings - Lateral C (Left MC), Canal Structures - Lateral C (MC)",,,,,,,,,,,
,PACKAGE 4,,,"7728316.69",,1,14-Apr-26,,,R1-PIMO-26-03-042,,,"For Posting (PhilGeps)
- March 24, 2026","Canal Linings - Lateral B (Right MC), Canal Structures - Lateral B (Right MC)",,,,,,,,,,,
,PACKAGE 5,,,"7859357.39",,1,14-Apr-26,,,R1-PIMO-26-03-043,,,"For Posting (PhilGeps)
- March 24, 2026","Canal Linings - Lateral B (Right MC), Canal Structures - Lateral B (Right MC)",,,,,,,,,,,
2,"DUMOLOC SMALL RESERVOIR IRRIGATION PROJECTS
Continuation for Contruction of Dam",Bugallon,"50000000.00","38373644.20",,,,,,,,,Under Multi-Year Funding of SRIP,Construction of High Dam,,,,,,,,,,,
35,Establishment of Groundwater Powered Irrigation Pump,,"450000000.00",0,0,0,,0,,,0,,,,,,,,,,,,,,
1,Alilao SPIP,DASOL,"10000000.00",,,,,,,,,,,EGPIP Solar - Procurement/Installation of 1-unit Solar-Powered Pump/Solar Power Driven Pump Irrigation (Augmentation),,,,,,,,,,,
2,Viga SPIP,DASOL,"10000000.00",,,,,,,,,,,EGPIP Solar - Procurement/Installation of 1-unit Solar-Powered Pump/Solar Power Driven Pump Irrigation,,,,,,,,,,,
3,Allabon SPIP,AGNO,"10000000.00",,,,,,,,,,,EGPIP Solar - Procurement/Installation of 1-unit Solar-Powered Pump/Solar Power Driven Pump Irrigation,,,,,,,,,,,
4,Mabalacat SPIP,MANGATAREM,"10000000.00",,,,,,,,,,,EGPIP Solar - Procurement/Installation of 1-unit Solar-Powered Pump/Solar Power Driven Pump Irrigation (Augmentation),,,,,,,,,,,
5,Bayoyong SPIP,BASISTA,"10000000.00",,,,,,,,,,,EGPIP Solar - Procurement/Installation of 1-unit Solar-Powered Pump/Solar Power Driven Pump Irrigation,,,,,,,,,,,
6,Mamarlao SPIP,SAN CARLOS,"10000000.00",,,,,,,,,,,EGPIP Solar - Procurement/Installation of 1-unit Solar-Powered Pump/Solar Power Driven Pump Irrigation,,,,,,,,,,,
7,Alitaya SPIP,MANGALDAN,"10000000.00",,,,,,,,,,,EGPIP Solar - Procurement/Installation of 1-unit Solar-Powered Pump/Solar Power Driven Pump Irrigation (Augmentation),,,,,,,,,,,
8,Diaz SPIP,UMINGAN,"10000000.00",,,,,,,,,,,EGPIP Solar - Procurement/Installation of 1-unit Solar-Powered Pump/Solar Power Driven Pump Irrigation (Augmentation),,,,,,,,,,,
9,Bantog SPIP,SAN QUINTIN,"10000000.00",,,,,,,,,,,EGPIP Solar - Procurement/Installation of 1-unit Solar-Powered Pump/Solar Power Driven Pump Irrigation (Augmentation),,,,,,,,,,,
10,Pogomboa SPIP,AGUILAR,"10000000.00",,,,,,,,,,,"EGPIP Solar - Construction of Solar Powered Pump, Brgy. Pogomboa, Aguilar (Augmentation)",,,,,,,,,,,
11,Poblacion SPIP,AGUILAR,"20000000.00",,,,,,,,,,,"EGPIP Solar - Construction of 2 units Solar Powered Pump, Brgy. Poblacion, Aguilar",,,,,,,,,,,
12,Bued SPIP,ALAMINOS CITY,"10000000.00",,,,,,,,,,,"EGPIP Solar - Construction of Solar Powered Pump, Brgy. Bued, Alaminos City",,,,,,,,,,,
13,San Jose SPIP,ANDA,"20000000.00",,,,,,,,,,,"EGPIP Solar - Construction of 2 units Solar Powered Pump, Brgy. San Jose, Anda",,,,,,,,,,,
14,Centro Toma SPIP,BANI,"50000000.00",,,,,,,,,,,"EGPIP Solar - Construction of of 5 units Solar Powered Pump, Brgy. Centro Toma, Bani",,,,,,,,,,,
15,Pangascasan SPIP,BUGALLON,"10000000.00",,,,,,,,,,,"EGPIP Solar - Construction of Solar Powered Pump, Brgy. Pangascasan, Bugallon",,,,,,,,,,,
16,Anapao SPIP,BURGOS,"10000000.00",,,,,,,,,,,"EGPIP Solar - Construction of Solar Powered Pump, Brgy. Anapao, Burgos",,,,,,,,,,,
17,Quesban SPIP,CALASIAO,"10000000.00",,,,,,,,,,,"EGPIP Solar - Construction of Solar Powered Pump, Brgy. Quesban, Calasiao (Augmentation)",,,,,,,,,,,
18,Alilao PIP,DASOL,"10000000.00",,,,,,,,,,,"EGPIP Solar - Provision of water pumps, Brgy. Alilao, Dasol (Augmentation)",,,,,,,,,,,
19,Bamban SPIP,INFANTA,"20000000.00",,,,,,,,,,,"EGPIP Solar - Construction of 2 units Solar Powered Pump, Brgy. Bamban, Infanta",,,,,,,,,,,
20,Bayambang - Macalang Batang SPIP,INFANTA,"10000000.00",,,,,,,,,,,"EGPIP Solar - Construction of Solar Powered Pump at Bayambang Macalang Batang Farmers IA, Infanta",,,,,,,,,,,
21,Bongalon SPIP,LABRADOR,"10000000.00",,,,,,,,,,,"EGPIP Solar - Construction of Solar Powered Irrigation System, Brgy. Bongalon, Labrador (Augmentation)",,,,,,,,,,,
22,Naguelguel SPIP,LINGAYEN,"10000000.00",,,,,,,,,,,"EGPIP Solar - Construction of Solar Powered Pump, Brgy. Naguelguel, Lingayen",,,,,,,,,,,
23,Malasiqui SPIP,MALASIQUI,"10000000.00",,,,,,,,,,,"EGPIP Solar - Construction of Solar Powered Pump, Malasiqui",,,,,,,,,,,
24,Canan Norte SPIP,MALASIQUI,"10000000.00",,,,,,,,,,,"EGPIP Solar - Construction of Solar Powered Pump, Brgy. Canan Norte, Malasiqui",,,,,,,,,,,
25,Banaoang SPIP,MALASIQUI,"10000000.00",,,,,,,,,,,"EGPIP Solar - Construction of Solar Powered Pump at Viba Corn Cluster Association, Malasiqui",,,,,,,,,,,
26,Cabatling SPIP,MALASIQUI,"10000000.00",,,,,,,,,,,"EGPIP Solar - Construction/Provision of Solar Powered Pump, Brgy. Cabatling, Malasiqui",,,,,,,,,,,
27,Bunlalacao SPIP,MANGATAREM,"10000000.00",,,,,,,,,,,"EGPIP Solar - Construction/Provision of Solar Powered Pump, Brgy. Bunlalacao, Mangatarem",,,,,,,,,,,
28,Mabalacat SPIP,MANGATAREM,"30000000.00",,,,,,,,,,,"EGPIP Solar - Construction/Provision of 3 units Solar Powered Pump at Mabalacat Farmers Communal IA, Mangatarem (Augmentation)",,,,,,,,,,,
29,Amanoaoac SPIP,MAPANDAN,"10000000.00",,,,,,,,,,,"EGPIP Solar - Construction of Solar Powered Pump, Brgy. Amanoaoac, Mapandan (Augmentation)",,,,,,,,,,,
30,Leet SPIP,SANTA BARBARA,"10000000.00",,,,,,,,,,,"EGPIP Solar - Construction of Solar Powered Pump at Sekder Leet Farmers IA, Sta. Barbara (Augmentation)",,,,,,,,,,,
31,Banaoag SPIP,SANTA BARBARA,"10000000.00",,,,,,,,,,,"EGPIP Solar - Construction of Solar Powered Pump at Mabiskeg Banaoag Farmers IA, Sta. Barbara (Augmentation)",,,,,,,,,,,
32,Bolaoen SPIP,SUAL,"10000000.00",,,,,,,,,,,"EGPIP Solar - Construction of Solar Powered Pump, Brgy. Bolaoen, Sual (Augmentation)",,,,,,,,,,,
33,Cabayaoasan PIS,BUGALLON,"15000000.00",,,,,,,,,,,"EGPIP Solar - Construction of Cabayaoasan Pump Irrigation Project, Brgy. Cabayaoasan, 2 Units Well Development (250 m)",,,,,,,,,,,
34,Salavante PIS,URBIZTONDO,"15000000.00",,,,,,,,,,,"EGPIP Solar - Construction of Salavante Pump Irrigation Project, Brgy. Salavante, 2 Units Well Development (250 m)",,,,,,,,,,,
35,Acop SPIP,ROSALES,"10000000.00",,,,,,,,,,,"EGPIP Solar - Construction of Solar Powered Pump, Brgy. Acop, Rosales (Augmentation)",,,,,,,,,,,
80,TOTAL (General Appropriations Act CY 2026),,"1386000000.00","634179660.29",15,18,,0,,,"157328628.88",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
3,SUPPLEMENTAL (2025),,0,"2477084.82",3,0,,3,,,"2475039.71",,,,,,,,,,,,,,
1,DIPALO RIS (REPAIR-NIS / COB CY 2025) - SUPPLEMENTAL,SAN QUINTIN,,"1186785.60",1,,5-Jan-26,1,2-Feb-26,R1-PIMO-26-12-023,"1205044.46",JOF CONSTRUCTION AND SUPPLY,Awarded,Slope Protection,,,,,,,,,,,
2,AGNO RIS (REPAIR-NIS - COB CY 2025) - SUPPLEMENTAL,MANAOAG,,"1017797.62",1,,5-Jan-26,1,2-Feb-26,R1-PIMO-26-12-024,"1002711.78",VYRAGUS CONSTRUCTION,Awarded,"Canal Structures, Canal Turn out Facilities",,,,,,,,,,,
3,SINOCALAN RIS (REPAIR NIS CY 2025 - COB),CALASIAO,,"272501.60",1,,19-Jan-26,1,2-Feb-26,RFQ-2026-0113-001 PIMO,"267283.47",VYRAGUS CONSTRUCTION,Awarded,Canal Lining,,,,,,,,,,,
4,SMALL VALUE PROCUREMENT (2025,,0,"2541951.37",3,0,,3,,,"1969684.11",,,,,,,,,,,,,,
1,LOWER AGNO RIS (REPAIR NIS COB - CY 2025),ROSALES,,"815000.00",1,,9-Oct-25,1,20-Oct-25,RFQ 2025-0930-507 PIMO,"810515.15",A.P. TAGARINO ENGINEERING &CONSTRUCTION SERVICES,Awarded,Embankment Protection,,,,,,,,,,,
2,PROPOSED TWO-STOREY BUILDING PIMO ROOF RECTIFICATION (CY 2025,URDANETA CITY,,"289364.85",1,,24-Oct-25,1,12-Nov-25,RFQ 2025-1009-590 PIMO,"285182.45",A.P. TAGARINO ENGINEERING &CONSTRUCTION SERVICES,Awarded,Roofing Works,,,,,,,,,,,
3,DUMULOC SRIP CY 2025 (SUPPLEMENTAL) CONSTRUCTION OF THE ADDITIONAL WORKS OF THE FIELD OFFICE EXTENSION AND COMPOUND DEVELOPMENT,BUGALLON,,"878986.52",1,,2-Dec-25,1,10-Dec-25,RFQ 2025-1125-684 PIMO,"873986.51",MAÑALAC CONSTRUCTION AND SUPPLY,Awarded,Field office Extension and Compound Development,,,,,,,,,,,
4,ARAGAAG CIS (CARP-IC CY 2025) - SUPPLEMENTAL,ASINGAN,,"558600.00",,,,,,,,,,Canal Structures,,,,,,,,,,,
1,SUPPLEMENTAL (2024),,0,"623270.38",0,0,,0,,,0,,,,,,,,,,,,,,
1,ARAGAAG CIS (CARP-IC CY 2024) - SUPPLEMENTAL,ASINGAN,,"623270.38",,,,,,,,,,Canal Structures,,,,,,,,,,,
8,TOTAL (Supplemental),,0,"5642306.57",6,0,,6,,,"4444723.82",,,,,,,,,,,,,,
,Prepared by:,,,,,,,,,,,,,,,,,,,,,,,,
,,KEVIN M. ORBILLO,,,,,,,,,,,,,,,,,,,,,,,
